playlist_id,track_ids
2696,4177 8056 821 12549 10851 13527 13060 15688 4172 4298
2697,9949 6004 14457 737 3008 18278 8761 9096 19050 2205
2713,17174 19189 12463 16767 13893 19774 11821 4380 15682 6043
2717,7285 13805 1344 5643 11330 11366 12874 11069 4430 14045
2727,5761 1419 20126 267 8284 708 16392 81 16093 16942
2730,12958 3210 13396 5981 5478 4997 10198 15275 2123 13373
2732,8850 10398 2779 7543 15285 3923 6273 932 2174 19083
2734,7894 10057 934 20444 3873 13791 16530 17135 12109 10021
2742,18004 372 18650 7733 15695 10568 15698 14652 15230 9420
2769,18380 206 7807 15375 15097 20396 7663 2602 11819 8248
2777,4436 4604 17648 9074 19750 7712 5008 4580 8692 12578
2793,5517 11336 9734 1427 14158 15682 10096 14994 2710 17331
2807,17467 15913 16411 19118 1224 3178 16064 7379 1156 8313
2817,20538 9374 3656 9831 15605 8741 584 2915 5796 20481
2829,14403 18023 3531 9488 16626 11874 14895 13624 5499 18913
2833,19081 19161 2947 832 14351 17074 12145 17085 11486 4164
2837,11315 18896 8908 10395 7667 14583 18359 549 1559 15056
2856,17963 8169 2004 14499 2640 12986 14458 3441 13505 11628
2868,15292 17591 4513 3969 5596 20416 13001 13595 11676 14374
2873,8009 5890 4059 19799 18842 4118 14569 9281 13086 18878
2898,12551 4366 6184 7516 8274 19954 12837 10366 18152 13834
2909,15390 6280 13766 1304 1839 8175 13137 7348 6308 2961
2917,9858 10775 3096 18385 720 1630 6877 25 191 18525
2922,5704 5715 17497 2604 11554 7631 20196 6748 2617 10578
2934,1638 4941 12466 14100 6831 11511 335 18734 16900 14316
2939,7558 20285 6731 16710 2544 11658 5953 17299 11984 1320
2957,9587 16828 7264 13520 9384 19818 11394 19324 8677 10213
2965,4365 14601 6636 11332 7163 17365 10198 1770 13567 18630
2973,10273 6795 16285 15819 12705 11517 15224 15213 17115 17191
2988,4825 13968 19929 1887 11394 4657 4919 7814 16865 11188
3025,6838 5637 14433 10280 15911 6692 2116 507 10683 1533
3043,8420 14115 3617 7471 19274 17658 1926 6064 10015 9483
3045,8383 14728 19655 410 20284 7615 2385 15253 20567 12168
3049,16569 15116 5043 4913 13253 14310 20343 623 14067 6497
3051,13304 6250 20294 12632 4383 16808 18744 19694 5340 7946
3086,19195 8006 7167 4540 13956 20496 7240 3146 17137 9018
3092,7788 9540 15897 1054 5763 5819 11278 3011 6144 6470
3103,1815 3076 5660 17312 8818 17438 14567 2814 4742 1864
3105,2790 19815 1537 1366 7770 15564 19965 12615 8857 5411
3131,16757 14889 13864 19766 18369 13112 5410 11403 9994 19436
3146,12064 4243 7853 8890 12568 6561 10591 12321 9634 9753
3183,13813 11460 11323 14318 11709 6995 20415 18447 10266 4494
3192,9594 5435 14073 6285 19574 11344 5152 2634 13310 19079
3196,19648 11851 20427 6131 14809 15974 9850 13520 3527 4466
3200,1839 9690 2804 4256 1373 5876 10252 4862 19937 12968
3201,17008 13408 9310 9200 346 11716 4744 20113 1445 2878
3232,10189 16454 11854 16675 20606 19237 7058 2850 20175 7766
3244,563 15416 14648 6421 18996 4686 10087 8107 18815 2046
3245,11328 1649 173 929 11845 2329 3866 4257 14899 19578
3246,731 15421 13997 3902 134 2759 15555 11949 2656 19887
3248,8761 13063 10414 19073 17586 2597 14409 5440 20376 3272
3263,12418 17259 9801 10471 3065 10840 16819 3258 6637 8688
3274,2184 3517 20038 13143 14126 15047 8704 15317 11127 10386
3278,17964 14214 11374 3470 5794 13391 13603 13957 16784 10870
3287,14237 16966 7681 8235 8739 1506 10167 5506 10630 20354
3290,15834 15342 7089 14571 15063 12254 4392 8355 9571 20444
3292,654 15226 7029 6195 8400 12573 11573 8066 662 1849
3320,4910 17301 8409 2724 8586 15001 16070 5536 442 2486
3326,10622 5776 7999 11474 19933 8166 7105 13415 12236 366
3329,13868 18085 8619 20109 1311 19735 681 13555 16183 1887
3334,18716 11610 8571 6259 17136 5218 16214 6800 15655 4401
3338,10616 11953 8850 18425 11248 15374 2532 12791 15586 13526
3353,4291 5524 6977 678 19720 10775 7698 13814 14448 4075
3354,3377 18399 11007 13254 6787 16011 19700 18001 10934 7977
3357,452 5394 11099 10072 3854 17234 13605 4302 16381 9370
3386,3441 7398 13851 19597 6144 18153 5864 10898 13068 7464
3394,16095 627 10976 16046 1259 18276 18215 8429 19079 3785
3409,11957 8196 2330 14975 11803 517 10572 11178 5201 7120
3415,7088 16422 2125 16475 14842 17216 12151 9852 5184 10808
3477,20073 6357 29 15597 2256 16092 15583 957 11397 8269
3482,4041 8931 9795 19952 10321 5295 4933 10080 15220 18524
3488,7164 7262 3941 7237 17949 10911 4564 934 15755 11721
3497,7862 1873 8977 224 3507 5148 17998 10223 13007 3469
3511,17926 11557 7381 12804 16569 18995 7029 11420 13057 2721
3523,3306 8795 11648 4597 15974 8408 1439 3074 20405 2128
3531,7949 4170 12004 13732 1252 13792 14325 13403 16749 10973
3532,12952 12468 4551 6100 8107 16375 5026 10856 10149 8705
3535,2151 741 8260 7237 3036 9344 13209 19332 9087 18563
3547,15574 10630 2145 3147 18676 4365 2331 4905 11542 3815
3561,12124 11492 15038 8689 7895 14340 7829 10645 11573 13881
3567,2950 13884 6173 2710 14368 10950 12392 7629 16796 12117
3571,18147 7873 12463 8317 19664 9575 14813 1403 10910 11720
3578,1116 16316 9173 1282 3438 11702 3236 8745 16312 8584
3589,162 17350 13305 8704 3205 11446 2002 1141 18406 9961
3596,20505 10026 19554 237 17585 727 18023 18079 8610 19059
3634,17822 13631 19086 15108 848 6920 15412 15914 5149 12016
3645,6226 7590 6966 15608 17027 14284 13292 18974 5577 11392
3650,2594 14298 1258 2448 8483 18515 14570 3324 17963 2347
3678,18783 18252 19973 6308 13868 1613 9624 13857 1348 1441
3696,5113 17371 3972 10557 20382 15027 18674 256 15392 11404
3704,12357 18379 1243 6193 19924 12743 7005 5848 10875 1831
3711,14442 15464 2978 3391 2170 13815 3875 15420 14111 8735
3712,3335 18701 585 19284 14406 17010 17024 10607 6514 15716
3720,4624 12896 1324 14038 18404 4024 8943 1153 18748 5652
3728,11799 18653 19997 6548 12086 3831 16690 5948 13462 16370
3746,16993 7662 5232 2601 2618 14261 7976 2812 2064 2767
3747,4666 7654 20571 20183 10143 8673 13719 5032 10003 2905
3759,16773 16572 2364 5479 3667 15646 15825 17427 7260 19972
3780,3940 78 6162 7327 610 14496 9637 15009 19748 18670
3784,2426 12504 3803 16128 17267 14889 5748 8979 12862 12715
3798,19340 1940 12486 7603 16895 20079 5414 4888 10302 4085
3805,4371 10600 17235 9945 10079 18655 20390 10821 19683 16172
3807,13147 18144 3025 7236 11622 5409 3714 6 1900 11290
3808,20246 5363 16860 5196 15224 17041 366 1018 12544 8891
3816,3614 17040 1815 16905 9 2506 1781 161 15480 3088
3822,19263 8216 12014 18057 9927 4554 1569 15198 1087 913
3827,621 8461 6088 12198 9897 9258 16945 20109 9138 19958
3851,10329 18719 4654 7040 16692 19358 7185 12513 2955 4787
3863,2873 14641 14886 13340 17036 11992 4740 17002 10168 9994
3872,12501 9877 18573 855 11386 8782 12836 4439 11680 1856
3875,3474 16727 19308 8271 2081 9504 19002 3491 5749 10915
3888,18082 13978 11902 9390 14673 11317 11183 16169 19012 796
3893,8453 8766 8084 16904 5000 3946 9559 8269 12778 1744
3898,11075 11262 4699 13484 2001 9258 4267 18641 5103 6589
3910,8265 11927 18884 20597 13485 20585 1042 13542 15000 4485
3916,2380 6348 2212 18997 18165 1338 18101 95 16263 9034
3918,8687 5732 3477 15700 5437 7454 18894 4292 12027 16852
3933,20492 9942 19384 17821 889 7232 17604 16482 6382 3852
3940,9900 17765 13024 13800 19655 12098 1 7227 12791 17802
3944,13997 260 14822 4555 10724 20241 15853 10246 12768 10548
3946,18215 14703 6590 14999 19764 10871 20169 6955 12473 17721
3954,6442 2715 13668 17332 15279 1803 17715 12250 14604 5480
3959,3478 12338 8209 15080 7694 339 11627 7515 9885 17335
3968,8842 12539 19801 2818 17473 673 16436 10614 5555 3407
3969,4349 19473 10655 8101 17705 18893 20067 12117 15877 19947
3971,12733 20042 17971 19913 4897 87 14025 9562 1296 11263
3984,7351 2260 7800 9049 12457 6153 16042 18596 6221 20314
4000,7442 12849 17964 14788 17384 16996 11689 1607 7860 12934
4008,15334 16250 5682 10610 7484 441 17467 5968 3395 14528
4013,14325 13774 13050 19623 13344 2795 11944 13455 7182 1803
4023,10883 3236 13447 9626 440 15930 1766 18240 4023 12352
4036,1717 2037 11760 3073 14287 9417 7415 3884 8254 19707
4058,15148 6761 6781 10593 13984 4118 15616 861 14160 1441
4082,2373 2815 15454 18172 3436 1937 13398 14866 2338 2143
4091,10834 2609 10355 1693 12225 11644 13427 9870 9433 19553
4112,15327 3274 14017 10598 16796 641 10267 19989 7381 6051
4119,19425 13640 12541 20357 15276 12998 16895 5589 7257 2650
4124,5194 9379 4440 19016 13961 19152 16875 355 9998 4831
4142,10640 9518 9395 13796 2775 11642 895 7758 4461 13830
4151,11603 3237 4585 3157 4530 843 6086 17177 1234 7805
4154,12717 19782 17122 9641 18624 2609 6950 20511 17644 14371
4165,10684 9738 12827 20596 19664 10262 20015 10515 8078 8949
4174,16330 5537 6061 6415 11708 3461 11483 9561 14491 14212
4182,9750 8091 20524 11951 4889 15602 16424 16662 13296 10217
4186,11051 20328 1638 8121 109 10249 8077 15905 9550 2161
4188,3756 219 4305 4557 12340 675 19362 20208 9937 7136
4189,11322 12013 11391 17015 18451 3987 19869 20203 606 11189
4193,19232 9468 11648 8692 18579 10888 1248 12224 18919 18807
4195,10071 19208 6702 9277 18281 15831 15186 19539 15443 15323
4216,12134 1600 14933 2133 13370 20435 7852 3620 20229 17319
4226,7060 15403 5203 2692 6022 2402 7347 123 12526 19854
4231,1219 5275 14869 7616 19753 957 2402 7468 12617 3133
4236,2077 12406 17890 9388 8864 16684 17282 14119 13418 2886
4238,13823 6396 914 7897 15368 18355 4013 2939 300 2924
4251,8551 11343 15590 17167 18574 8591 5377 4246 15813 9347
4256,8441 9544 4439 10002 10519 18595 7675 7412 1945 965
4258,743 4640 6657 2111 7467 2493 17540 13916 15694 9375
4262,18201 15901 12055 5967 16014 10341 141 4598 19659 14737
4265,5949 3080 20509 12920 12576 19069 9239 1617 170 4111
4267,19527 11309 19971 2035 20285 7943 14876 11406 5267 19192
4293,15451 12756 2372 9816 18833 1308 17479 1976 12803 12495
4295,3024 1870 10635 6490 481 17798 9288 3113 11785 16230
4296,19184 17159 7383 1506 19637 1609 4466 14486 17244 3388
4297,16499 944 1563 15945 1809 6804 4567 2320 13666 3329
4299,18071 19471 8429 4637 2942 1895 3081 34 419 350
4300,17279 17697 13336 12115 13825 11622 11524 15659 19567 19088
4302,16808 16737 17604 17050 3790 9642 18347 9377 6470 16134
4307,6599 19098 15216 15058 16586 18898 6076 1017 1612 19352
4309,9886 3565 1087 9938 12953 3763 9459 20393 6413 5090
